,text
53,RT @IranCfppi: جمعی از کارگران شرکت کشت و صنعت میرزا کوچک خان واقع در شهرستان خرمشهر در استان خوزستان روز پنجشنبه ۲۳ اردیبهشت ماه، با برپای…
54,RT @adam_hesabi: رضا کفتر باز حتی از کفترا و پرنده هاشم نمیتونه محافظت کنه ، اونوقت یه عده همچنان میرن دخیل میبندن که سرطانشون خوب شه ! 😏 h…
55,تف به حیات.
56,"صدا و سیما پادگانیه که سربازانش زیر دست سرهنگ لاریجانی تربیت شدند.
#انتخابات_۱۴۰۰ 
#رئيسی_بیا"
57,@Kharmagas8 حیف از گلوله؛ اینها رو باید با قرص برنج کشت.
58,"RT @mozhgon_siah: نمیخواین یه حالی بدین 
تا ۳کا آدم با مرام دور هم جمع بشیم 😜❤🐞"
59,"RT @AzadiiFarhad: تو بمیر.! 
قول میدم نامت به نکویی ببرم.... 
#نه_به_جمهوری_اسلامی"
60,RT @iraneazad99: @AntiProp_aganda رئیسی جاش خوبه یحتمل نظر عاقا این دفعه به لاریجانی نزدیکه لابد برای رهبری مجتبی هم با دو تاشون توافق شده
61,"RT @bahargods: نمایندگان محترم مجلس!
مستحضر هستید که مذاکرات وین به سرپرستی آقای عراقچی ،برخلاف دستور معظمٌ له فرسایشی شده وبرای بار چندم ا…"
62,@Narengi92 فکر کن تو که دلت اینجوری سوخت من چی میکشم😔
63,@ghoghol_nofski جدی؟
64,"RT @motalitae_2: از بی تی اس ممنونم چون باعث شدن خودمو دوست داشته باشم...
اینکه ببینی ی نفر از خودش راضی و نیست و خودشو دوست نداره خیلی نار…"
65,"@Realbaekwife @weareoneEXO @B_hundred_Hyun @layzhang پول پول پول

میشه پرتقالمو لایک کنین😁❤️… https://t.co/dK2AQa5vYm"
66,"از اسب افتادیم ،از اصل که نیافتادیم .
تاجی همیشه تاجی ،آبی همیشه آبی 💙💙💙💙💙💙💙💙💙💙💙💙"
67,"RT @ParkBH_64: فقط برای یاداوری!! 
ما اومدیم توییتر برای حمایت، اومدیم عکسای قشنگ از اعضا رو بریزیم توی لاین تایم، اومدیم برای هشتگا، رای گ…"
68,@iamiref11 وقتی امیو مجبور کردن غذارو درست کنه:
69,"RT @omiiid_1995: با انتخاب رئیس جمهور انقلابی تموم توصیه های روی زمین مونده رهبرم به سرانجام میرسه

 #کرمان_قهرمان_پرور"
70,RT @Shangool1012: گمم نکنید و از اینجور صحبتا https://t.co/zc9ZdBktBu
71,@ZAYN_ASALL نه نمیشه من رفیقتم نباید اینکارو باهام میکردی....
72,@lls_k_shll وقتی ندونه چکارش کنیم؟
73,RT @IRANIMALRIGHTS: به دنبال انتشار ویدیوی #سگ_کشی و اعدام سگ‌ها توسط #شهرداری_تبریز در شبکه‌های مجازی، گروهی از #حامیان_حیوانات مقابل #شهر…
74,RT @Polyhedron__: لطفا کمی صدای سکوت را بیشتر کنید ، آرامشش به گوش نمیرسد ))
75,"@Mahdiye7467 🌹🙏
ممنون 
زیبا میبینید"
76,"RT @FatemeSadatarfa: از خداوند متعال برایتان سلامتی، بهروزی و توفیق استمرار خدمتگزاری را مسئلت دارم 
#رئیسی_متشکریم
،،،::::"
77,@mozmen1 پس اشنا برای همین توییت زد🤔
78,"@elnaz1485 @weareoneEXO @B_hundred_Hyun @layzhang میشه پرتقالمو لایک کنین😁❤️
https://t.co/HuP3mwbKgL
فالومم کنین بک… https://t.co/7UoIiPAcKk"
79,"و به نیمه رسید💀
باران حقیقیت ،باران درد برده دارن
PAIN. PAIN. PAIN. PAIN"
80,RT @MbShahnaz: ایرانی لبا شرف سکوت =خیانت به آب و خاک اجدادی مان ایران است.👇👇👇👇👇👇👇
81,"@KhodetMiidoni هر وقت نعیما طاهری رو دادن به من 
اونوقت تصمیم بگیرید"
82,@Nav3d3 تشکر
83,@DashJafar نه. نداره 😂
84,"RT @Farzad_mpur: اصولگرا، برانداز، پیوندتان مبارک
تا زمانی که اصولگراهای بی‌بصیرت هستند، اصلاحات نیازی به تبلیغات ندارد
#نه_به_رئيسی #دولت_…"
85,‌اسحاق جهانگیری نامزد انتخابات ریاست جمهوری شد معاون اول رئیس جمهوری با حضور در وزارت کشور برای نامزد شدن در انتخاب… https://t.co/PmdpWs57is
86,@talabeyakuza @Mamadanof @AliirezzaaaaAM کیر طلایی باشه لطفا 🙏🏻😂
87,"مارز‌ رو انقدراهم بس اطمینان نکن
همین جناب کسایی دیگه ایو بعنوان بهترین دنسرای کیپاپ اسم برد
و برای کپی‌رایت چنان ق… https://t.co/MOl2S5rEP3"
88,@syjebraily چون از قدیم گفتن آدم دروغگو کم حافظه هم هست .👌
89,@baaayraam آره کلا اشتباه کردم ، اینا تربیت ناپذیر هستن
90,"RT @Ahoo282828: #رئیسی_متشکریم

مملکت که اداره میشد بی درو پیکر بوده ولی دیگه اجازه نمیدیم. https://t.co/pfN2qLPXbF"
91,"RT @pdrmsh: عالی سعید محمد، چقدر دقیق گفت
دمتون گرم تو مناظرات همینجوری پوزه شون رو به خاک بمالید👌🏻 https://t.co/qtnpZqB9Xy"
92,@lenin1927 از هنرهای ما ایرانی ها  این بوده که تما اقوام وحشی را ادم کردیم ولی حریف اخوند نشدیم.‌
93,RT @ayyaaaar: با توجه به نامزدی آقای رئیسی، علی رغم دعوت مردمی بنده هم کاندیدا نمیشم و به نفع ایشون کنار میرم
94,"@H_Hoseini_Panah @nfszmnzdh هنر خوار شد جادویی ارجمند

نهان راستی آشکارا گزند"
